sample_group,complexity_label,file,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,line_pair_count,sketch_pair_count,curve_pair_count,complexity_score
random_stratified,low,00082680.json,28,14,4,6647.0,2,8,2,2,0.044009
random_stratified,low,00101499.json,38,19,4,7669.0,2,13,2,2,0.077922
random_stratified,low,00102029.json,26,13,4,6336.0,2,7,2,2,0.037109
random_stratified,low,00123301.json,16,8,4,4900.0,2,0,2,2,0.00274
random_stratified,low,00145278.json,22,11,5,6060.0,2,4,2,2,0.09869
random_stratified,low,00213690.json,24,12,4,5352.0,2,0,4,2,0.029467
random_stratified,low,00254512.json,28,14,4,6290.0,2,8,2,2,0.043616
random_stratified,low,00266368.json,28,14,4,6667.0,2,8,2,2,0.044031
random_stratified,low,00266491.json,28,14,4,6377.0,2,8,2,2,0.043711
random_stratified,low,00271205.json,28,14,4,6281.0,2,8,2,2,0.043606
random_stratified,low,00329745.json,16,8,4,5827.0,2,0,2,2,0.003761
random_stratified,low,00370239.json,16,8,4,5713.0,2,0,2,2,0.003635
random_stratified,low,00371626.json,28,14,4,4972.0,2,8,2,2,0.042163
random_stratified,low,00418783.json,28,14,4,4304.0,2,8,2,2,0.041427
random_stratified,low,00421488.json,28,14,4,6936.0,2,8,2,2,0.044327
random_stratified,low,00453776.json,24,12,4,4803.0,2,0,4,2,0.028862
random_stratified,low,00458393.json,28,14,4,5200.0,2,8,2,2,0.042414
random_stratified,low,00482040.json,28,14,4,4585.0,2,8,2,2,0.041737
random_stratified,low,00494596.json,28,14,4,7042.0,2,8,2,2,0.044444
random_stratified,low,00502909.json,28,14,4,5940.0,2,8,2,2,0.04323
random_stratified,low,00513222.json,24,12,4,5776.0,2,0,4,2,0.029934
random_stratified,low,00605148.json,24,12,4,6552.0,2,0,4,2,0.03079
random_stratified,low,00606067.json,28,14,4,6164.0,2,8,2,2,0.043477
random_stratified,low,00641293.json,28,14,4,7478.0,3,0,4,3,0.057425
random_stratified,low,00662884.json,42,21,4,5933.0,2,13,4,2,0.089124
random_stratified,low,00685122.json,28,14,4,10822.0,2,8,2,2,0.04861
random_stratified,low,00702769.json,16,8,4,4767.0,2,0,2,2,0.002593
random_stratified,low,00708441.json,16,8,4,4980.0,2,0,2,2,0.002828
random_stratified,low,00720740.json,24,12,4,5867.0,2,0,4,2,0.030035
random_stratified,low,00738772.json,28,14,4,5159.0,2,8,2,2,0.042369
random_stratified,low,00758797.json,28,14,4,7335.0,2,8,2,2,0.044767
random_stratified,low,00758837.json,24,12,4,4411.0,2,0,4,2,0.02843
