file,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,line_pair_count,sketch_pair_count,curve_pair_count,complexity_score,complexity_label
00878451.json,130,65,6,86422.0,10,5,10,10,0.716346,high
00960253.json,136,68,6,49406.0,10,24,12,10,0.695227,high
00347758.json,134,67,6,53068.0,10,31,11,10,0.692705,high
00791132.json,132,66,6,51232.0,10,12,14,10,0.684124,high
00469989.json,136,68,6,37122.0,10,16,14,10,0.68169,high
00161424.json,136,68,6,47299.0,9,37,9,9,0.680405,high
00613542.json,124,62,6,71013.0,10,12,14,10,0.679693,high
00986574.json,134,67,6,38674.0,10,28,10,10,0.676843,high
00825001.json,134,67,6,36675.0,10,10,14,10,0.67464,high
00063965.json,124,62,6,59958.0,10,20,11,10,0.667511,high
00085031.json,126,63,6,53161.0,10,20,10,10,0.666578,high
00026987.json,132,66,6,34649.0,10,30,12,10,0.66585,high
00866616.json,136,68,6,32012.0,9,25,13,9,0.663559,high
00240998.json,134,67,6,37946.0,9,34,11,9,0.663541,high
00685334.json,132,66,6,31571.0,10,18,14,10,0.662458,high
00543956.json,132,66,6,42813.0,9,34,9,9,0.662347,high
00075025.json,132,66,6,42705.0,9,34,9,9,0.662228,high
00262583.json,130,65,6,36974.0,10,12,13,10,0.661855,high
00069113.json,128,64,6,42070.0,10,25,10,10,0.660913,high
00645690.json,130,65,6,58233.0,8,26,11,8,0.660282,high
00059835.json,134,67,6,34914.0,9,26,10,9,0.6602,high
00446565.json,132,66,6,40422.0,9,32,11,9,0.659712,high
00130467.json,132,66,6,33891.0,9,22,10,9,0.652515,high
00707584.json,132,66,6,33881.0,9,24,11,9,0.652504,high
00479543.json,126,63,6,50035.0,9,12,14,9,0.650633,high
00435153.json,130,65,6,38100.0,9,34,9,9,0.650596,high
00380446.json,126,63,6,48964.0,9,13,14,9,0.649453,high
00741026.json,128,64,6,42703.0,9,25,9,9,0.649111,high
00715401.json,130,65,6,48088.0,8,32,10,8,0.649102,high
00193778.json,130,65,6,36686.0,9,22,12,9,0.649038,high
00897064.json,126,63,6,47409.0,9,28,11,9,0.647739,high
00703137.json,126,63,6,45728.0,9,14,13,9,0.645887,high
00044388.json,122,61,6,45530.0,10,16,13,10,0.645054,high
00458534.json,130,65,6,33022.0,9,30,9,9,0.645,high
00076822.json,126,63,6,44697.0,9,12,14,9,0.644751,high
00445449.json,124,62,6,37778.0,10,12,14,10,0.643069,high
