file,event_count,pair_count,unique_action_count,span_ms,max_nesting_depth,started_total,finished_total,unmatched_start_total,unmatched_finish_total,strict_mismatch_count,strict_underflow_count,pairing_completion_rate,has_pairing_issue
00264646.json,138,69,5,37379.0,3,69,69,0,0,0,0,1.0,0
00517128.json,138,69,4,49439.0,3,69,69,0,0,0,0,1.0,0
00960253.json,136,68,6,49406.0,3,68,68,0,0,0,0,1.0,0
00161424.json,136,68,6,47299.0,3,68,68,0,0,0,0,1.0,0
00469989.json,136,68,6,37122.0,3,68,68,0,0,0,0,1.0,0
00866616.json,136,68,6,32012.0,3,68,68,0,0,0,0,1.0,0
00641703.json,136,68,5,60342.0,3,68,68,0,0,0,0,1.0,0
00364907.json,136,68,5,55676.0,3,68,68,0,0,0,0,1.0,0
00524823.json,136,68,5,42604.0,3,68,68,0,0,0,0,1.0,0
00751871.json,136,68,5,41819.0,3,68,68,0,0,0,0,1.0,0
00066618.json,136,68,5,40573.0,3,68,68,0,0,0,0,1.0,0
00424118.json,136,68,5,40564.0,3,68,68,0,0,0,0,1.0,0
00466567.json,136,68,5,40137.0,3,68,68,0,0,0,0,1.0,0
00241106.json,136,68,5,39987.0,3,68,68,0,0,0,0,1.0,0
00241107.json,136,68,5,38828.0,3,68,68,0,0,0,0,1.0,0
00142726.json,136,68,5,38354.0,3,68,68,0,0,0,0,1.0,0
00629475.json,136,68,5,38125.0,3,68,68,0,0,0,0,1.0,0
00707599.json,136,68,5,37838.0,3,68,68,0,0,0,0,1.0,0
00198112.json,136,68,5,35444.0,3,68,68,0,0,0,0,1.0,0
00008655.json,136,68,5,32956.0,3,68,68,0,0,0,0,1.0,0
00262475.json,136,68,5,32407.0,3,68,68,0,0,0,0,1.0,0
00974892.json,136,68,5,32395.0,3,68,68,0,0,0,0,1.0,0
00729714.json,136,68,5,28745.0,3,68,68,0,0,0,0,1.0,0
00146235.json,136,68,4,55983.0,3,68,68,0,0,0,0,1.0,0
00462171.json,136,68,4,50259.0,3,68,68,0,0,0,0,1.0,0
00590115.json,136,68,4,39321.0,3,68,68,0,0,0,0,1.0,0
00848314.json,136,68,4,35885.0,3,68,68,0,0,0,0,1.0,0
00849018.json,136,68,4,34473.0,3,68,68,0,0,0,0,1.0,0
00473544.json,136,68,4,33835.0,3,68,68,0,0,0,0,1.0,0
00893149.json,136,68,4,33209.0,3,68,68,0,0,0,0,1.0,0
00347758.json,134,67,6,53068.0,3,67,67,0,0,0,0,1.0,0
00986574.json,134,67,6,38674.0,3,67,67,0,0,0,0,1.0,0
00240998.json,134,67,6,37946.0,3,67,67,0,0,0,0,1.0,0
00825001.json,134,67,6,36675.0,3,67,67,0,0,0,0,1.0,0
00059835.json,134,67,6,34914.0,3,67,67,0,0,0,0,1.0,0
00630959.json,134,67,5,55958.0,3,67,67,0,0,0,0,1.0,0
00931325.json,134,67,5,46272.0,3,67,67,0,0,0,0,1.0,0
00580088.json,134,67,5,44853.0,3,67,67,0,0,0,0,1.0,0
00590829.json,134,67,5,44370.0,3,67,67,0,0,0,0,1.0,0
00580149.json,134,67,5,44336.0,3,67,67,0,0,0,0,1.0,0
00663105.json,134,67,5,43696.0,3,67,67,0,0,0,0,1.0,0
00580115.json,134,67,5,42555.0,3,67,67,0,0,0,0,1.0,0
00040736.json,134,67,5,41409.0,3,67,67,0,0,0,0,1.0,0
00917738.json,134,67,5,40603.0,3,67,67,0,0,0,0,1.0,0
00144046.json,134,67,5,39642.0,3,67,67,0,0,0,0,1.0,0
00146002.json,134,67,5,39194.0,3,67,67,0,0,0,0,1.0,0
00521237.json,134,67,5,39036.0,3,67,67,0,0,0,0,1.0,0
00950423.json,134,67,5,36648.0,3,67,67,0,0,0,0,1.0,0
00044356.json,134,67,5,34847.0,3,67,67,0,0,0,0,1.0,0
00389492.json,134,67,5,31025.0,3,67,67,0,0,0,0,1.0,0
00306585.json,134,67,5,29355.0,3,67,67,0,0,0,0,1.0,0
00644613.json,134,67,5,27911.0,3,67,67,0,0,0,0,1.0,0
00902685.json,134,67,4,51617.0,3,67,67,0,0,0,0,1.0,0
00403626.json,134,67,4,50024.0,3,67,67,0,0,0,0,1.0,0
00933006.json,134,67,4,44683.0,3,67,67,0,0,0,0,1.0,0
00180717.json,134,67,4,41578.0,3,67,67,0,0,0,0,1.0,0
00039855.json,134,67,4,39244.0,3,67,67,0,0,0,0,1.0,0
00061274.json,134,67,4,37841.0,3,67,67,0,0,0,0,1.0,0
00656327.json,134,67,4,34629.0,3,67,67,0,0,0,0,1.0,0
00142288.json,134,67,4,31824.0,3,67,67,0,0,0,0,1.0,0
00507980.json,134,67,4,31097.0,3,67,67,0,0,0,0,1.0,0
00094260.json,134,67,4,30369.0,3,67,67,0,0,0,0,1.0,0
00442649.json,134,67,4,29041.0,3,67,67,0,0,0,0,1.0,0
00791132.json,132,66,6,51232.0,3,66,66,0,0,0,0,1.0,0
00543956.json,132,66,6,42813.0,3,66,66,0,0,0,0,1.0,0
00075025.json,132,66,6,42705.0,3,66,66,0,0,0,0,1.0,0
00446565.json,132,66,6,40422.0,3,66,66,0,0,0,0,1.0,0
00184696.json,132,66,6,35074.0,3,66,66,0,0,0,0,1.0,0
00026987.json,132,66,6,34649.0,3,66,66,0,0,0,0,1.0,0
