sample_group,sample_id,action_json_file,action_json_path,image_count_in_cad,example_image_paths,example_view_indices,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,complexity_score,complexity_label
random_stratified_overlap,00011990,00011990.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00011990.json,5,images/0001/00011990_0.png | images/0001/00011990_3.png | images/0001/00011990_4.png | images/0001/00011990_1.png | images/0001/00011990_2.png,"0,1,2,3,4",24,12,4,8001.0,2,0.032386,low
random_stratified_overlap,00016953,00016953.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00016953.json,5,images/0001/00016953_3.png | images/0001/00016953_4.png | images/0001/00016953_1.png | images/0001/00016953_2.png | images/0001/00016953_0.png,"0,1,2,3,4",24,12,4,9237.0,3,0.046248,low
random_stratified_overlap,00017018,00017018.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00017018.json,5,images/0001/00017018_1.png | images/0001/00017018_2.png | images/0001/00017018_3.png | images/0001/00017018_4.png | images/0001/00017018_0.png,"0,1,2,3,4",16,8,4,6240.0,2,0.004216,low
random_stratified_overlap,00017284,00017284.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00017284.json,5,images/0001/00017284_1.png | images/0001/00017284_4.png | images/0001/00017284_0.png | images/0001/00017284_2.png | images/0001/00017284_3.png,"0,1,2,3,4",26,13,4,7424.0,2,0.038308,low
random_stratified_overlap,00017599,00017599.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00017599.json,5,images/0001/00017599_0.png | images/0001/00017599_3.png | images/0001/00017599_1.png | images/0001/00017599_4.png | images/0001/00017599_2.png,"0,1,2,3,4",16,8,4,5605.0,2,0.003516,low
random_stratified_overlap,00026599,00026599.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00026599.json,4,images/0002/00026599_1.png | images/0002/00026599_2.png | images/0002/00026599_0.png | images/0002/00026599_4.png,"0,1,2,4",16,8,4,5355.0,2,0.003241,low
random_stratified_overlap,00047421,00047421.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00047421.json,5,images/0004/00047421_1.png | images/0004/00047421_3.png | images/0004/00047421_2.png | images/0004/00047421_0.png | images/0004/00047421_4.png,"0,1,2,3,4",28,14,4,5422.0,2,0.042659,low
random_stratified_overlap,00055078,00055078.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00055078.json,5,images/0005/00055078_0.png | images/0005/00055078_3.png | images/0005/00055078_1.png | images/0005/00055078_2.png | images/0005/00055078_4.png,"0,1,2,3,4",16,8,4,5598.0,2,0.003509,low
random_stratified_overlap,00076659,00076659.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00076659.json,5,images/0007/00076659_4.png | images/0007/00076659_0.png | images/0007/00076659_2.png | images/0007/00076659_3.png | images/0007/00076659_1.png,"0,1,2,3,4",28,14,4,6569.0,2,0.043923,low
random_stratified_overlap,00089049,00089049.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00089049.json,5,images/0008/00089049_0.png | images/0008/00089049_2.png | images/0008/00089049_3.png | images/0008/00089049_4.png | images/0008/00089049_1.png,"0,1,2,3,4",36,18,4,7110.0,3,0.083249,low
