sample_id,action_json_file,action_json_path,image_count_in_cad,example_image_paths,example_view_indices,event_count,pair_count,unique_action_count,span_ms,extrusion_pair_count,complexity_score,complexity_label
00161424,00161424.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00161424.json,5,images/0016/00161424_0.png | images/0016/00161424_2.png | images/0016/00161424_1.png | images/0016/00161424_3.png | images/0016/00161424_4.png,"0,1,2,3,4",136,68,6,47299.0,9,0.680405,high
00085031,00085031.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00085031.json,5,images/0008/00085031_2.png | images/0008/00085031_1.png | images/0008/00085031_4.png | images/0008/00085031_3.png | images/0008/00085031_0.png,"0,1,2,3,4",126,63,6,53161.0,10,0.666578,high
00026987,00026987.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00026987.json,4,images/0002/00026987_0.png | images/0002/00026987_1.png | images/0002/00026987_2.png | images/0002/00026987_3.png,"0,1,2,3",132,66,6,34649.0,10,0.66585,high
00240998,00240998.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00240998.json,5,images/0024/00240998_2.png | images/0024/00240998_4.png | images/0024/00240998_0.png | images/0024/00240998_1.png | images/0024/00240998_3.png,"0,1,2,3,4",134,67,6,37946.0,9,0.663541,high
00075025,00075025.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00075025.json,5,images/0007/00075025_0.png | images/0007/00075025_4.png | images/0007/00075025_3.png | images/0007/00075025_2.png | images/0007/00075025_1.png,"0,1,2,3,4",132,66,6,42705.0,9,0.662228,high
00262583,00262583.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00262583.json,5,images/0026/00262583_4.png | images/0026/00262583_0.png | images/0026/00262583_2.png | images/0026/00262583_1.png | images/0026/00262583_3.png,"0,1,2,3,4",130,65,6,36974.0,10,0.661855,high
00059835,00059835.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00059835.json,5,images/0005/00059835_2.png | images/0005/00059835_1.png | images/0005/00059835_0.png | images/0005/00059835_3.png | images/0005/00059835_4.png,"0,1,2,3,4",134,67,6,34914.0,9,0.6602,high
00130467,00130467.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00130467.json,5,images/0013/00130467_2.png | images/0013/00130467_4.png | images/0013/00130467_1.png | images/0013/00130467_0.png | images/0013/00130467_3.png,"0,1,2,3,4",132,66,6,33891.0,9,0.652515,high
00193778,00193778.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00193778.json,5,images/0019/00193778_2.png | images/0019/00193778_0.png | images/0019/00193778_1.png | images/0019/00193778_3.png | images/0019/00193778_4.png,"0,1,2,3,4",130,65,6,36686.0,9,0.649038,high
00076822,00076822.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00076822.json,5,images/0007/00076822_0.png | images/0007/00076822_1.png | images/0007/00076822_4.png | images/0007/00076822_2.png | images/0007/00076822_3.png,"0,1,2,3,4",126,63,6,44697.0,9,0.644751,high
00157302,00157302.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00157302.json,5,images/0015/00157302_1.png | images/0015/00157302_2.png | images/0015/00157302_3.png | images/0015/00157302_4.png | images/0015/00157302_0.png,"0,1,2,3,4",126,63,6,54155.0,8,0.642673,high
00195000,00195000.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00195000.json,5,images/0019/00195000_3.png | images/0019/00195000_0.png | images/0019/00195000_2.png | images/0019/00195000_4.png | images/0019/00195000_1.png,"0,1,2,3,4",128,64,6,36573.0,9,0.642356,high
00267506,00267506.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00267506.json,5,images/0026/00267506_3.png | images/0026/00267506_0.png | images/0026/00267506_1.png | images/0026/00267506_2.png | images/0026/00267506_4.png,"0,1,2,3,4",124,62,6,36451.0,10,0.641606,high
00184696,00184696.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00184696.json,5,images/0018/00184696_4.png | images/0018/00184696_0.png | images/0018/00184696_3.png | images/0018/00184696_1.png | images/0018/00184696_2.png,"0,1,2,3,4",132,66,6,35074.0,8,0.641319,high
00081512,00081512.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00081512.json,5,images/0008/00081512_4.png | images/0008/00081512_0.png | images/0008/00081512_2.png | images/0008/00081512_1.png | images/0008/00081512_3.png,"0,1,2,3,4",128,64,6,35463.0,9,0.641132,high
00306324,00306324.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00306324.json,1,images/0030/00306324_2.png,2,128,64,6,30662.0,9,0.635842,high
