sample_id,image_count_in_cad,action_json_exists,example_image_paths
00000070,5,1,images/0000/00000070_4.png | images/0000/00000070_0.png | images/0000/00000070_1.png | images/0000/00000070_2.png | images/0000/00000070_3.png
00000073,5,1,images/0000/00000073_1.png | images/0000/00000073_2.png | images/0000/00000073_3.png | images/0000/00000073_4.png | images/0000/00000073_0.png
00000123,5,1,images/0000/00000123_3.png | images/0000/00000123_0.png | images/0000/00000123_4.png | images/0000/00000123_1.png | images/0000/00000123_2.png
00000172,5,1,images/0000/00000172_1.png | images/0000/00000172_3.png | images/0000/00000172_2.png | images/0000/00000172_4.png | images/0000/00000172_0.png
00000272,5,1,images/0000/00000272_2.png | images/0000/00000272_4.png | images/0000/00000272_0.png | images/0000/00000272_3.png | images/0000/00000272_1.png
00000346,5,1,images/0000/00000346_3.png | images/0000/00000346_0.png | images/0000/00000346_1.png | images/0000/00000346_4.png | images/0000/00000346_2.png
00000348,5,1,images/0000/00000348_3.png | images/0000/00000348_4.png | images/0000/00000348_2.png | images/0000/00000348_0.png | images/0000/00000348_1.png
00000363,5,1,images/0000/00000363_0.png | images/0000/00000363_2.png | images/0000/00000363_4.png | images/0000/00000363_1.png | images/0000/00000363_3.png
00000508,5,1,images/0000/00000508_0.png | images/0000/00000508_4.png | images/0000/00000508_1.png | images/0000/00000508_2.png | images/0000/00000508_3.png
00000525,5,1,images/0000/00000525_3.png | images/0000/00000525_1.png | images/0000/00000525_0.png | images/0000/00000525_2.png | images/0000/00000525_4.png
00000544,5,1,images/0000/00000544_3.png | images/0000/00000544_2.png | images/0000/00000544_4.png | images/0000/00000544_0.png | images/0000/00000544_1.png
00000632,5,1,images/0000/00000632_1.png | images/0000/00000632_2.png | images/0000/00000632_3.png | images/0000/00000632_0.png | images/0000/00000632_4.png
00000729,5,1,images/0000/00000729_0.png | images/0000/00000729_3.png | images/0000/00000729_4.png | images/0000/00000729_1.png | images/0000/00000729_2.png
00000797,5,1,images/0000/00000797_0.png | images/0000/00000797_2.png | images/0000/00000797_3.png | images/0000/00000797_1.png | images/0000/00000797_4.png
00000903,5,1,images/0000/00000903_2.png | images/0000/00000903_3.png | images/0000/00000903_0.png | images/0000/00000903_4.png | images/0000/00000903_1.png
00000908,5,1,images/0000/00000908_1.png | images/0000/00000908_3.png | images/0000/00000908_2.png | images/0000/00000908_4.png | images/0000/00000908_0.png
00000954,5,1,images/0000/00000954_0.png | images/0000/00000954_1.png | images/0000/00000954_3.png | images/0000/00000954_2.png | images/0000/00000954_4.png
00001005,5,1,images/0000/00001005_3.png | images/0000/00001005_4.png | images/0000/00001005_0.png | images/0000/00001005_1.png | images/0000/00001005_2.png
00001020,5,1,images/0000/00001020_2.png | images/0000/00001020_0.png | images/0000/00001020_3.png | images/0000/00001020_4.png | images/0000/00001020_1.png
00001047,5,1,images/0000/00001047_1.png | images/0000/00001047_3.png | images/0000/00001047_0.png | images/0000/00001047_2.png | images/0000/00001047_4.png
00001164,5,1,images/0000/00001164_1.png | images/0000/00001164_2.png | images/0000/00001164_3.png | images/0000/00001164_0.png | images/0000/00001164_4.png
00001211,5,1,images/0000/00001211_1.png | images/0000/00001211_0.png | images/0000/00001211_3.png | images/0000/00001211_4.png | images/0000/00001211_2.png
00001237,5,1,images/0000/00001237_4.png | images/0000/00001237_1.png | images/0000/00001237_3.png | images/0000/00001237_0.png | images/0000/00001237_2.png
00001291,5,1,images/0000/00001291_2.png | images/0000/00001291_0.png | images/0000/00001291_1.png | images/0000/00001291_3.png | images/0000/00001291_4.png
00001306,5,1,images/0000/00001306_3.png | images/0000/00001306_2.png | images/0000/00001306_4.png | images/0000/00001306_0.png | images/0000/00001306_1.png
00001307,5,1,images/0000/00001307_0.png | images/0000/00001307_4.png | images/0000/00001307_3.png | images/0000/00001307_2.png | images/0000/00001307_1.png
00001330,5,1,images/0000/00001330_0.png | images/0000/00001330_4.png | images/0000/00001330_2.png | images/0000/00001330_3.png | images/0000/00001330_1.png
00001341,5,1,images/0000/00001341_3.png | images/0000/00001341_1.png | images/0000/00001341_2.png | images/0000/00001341_0.png | images/0000/00001341_4.png
00001378,5,1,images/0000/00001378_1.png | images/0000/00001378_4.png | images/0000/00001378_3.png | images/0000/00001378_0.png | images/0000/00001378_2.png
00001382,5,1,images/0000/00001382_1.png | images/0000/00001382_4.png | images/0000/00001382_3.png | images/0000/00001382_0.png | images/0000/00001382_2.png
00001390,5,1,images/0000/00001390_4.png | images/0000/00001390_2.png | images/0000/00001390_0.png | images/0000/00001390_1.png | images/0000/00001390_3.png
00001398,5,1,images/0000/00001398_1.png | images/0000/00001398_2.png | images/0000/00001398_4.png | images/0000/00001398_0.png | images/0000/00001398_3.png
00001497,5,1,images/0000/00001497_3.png | images/0000/00001497_0.png | images/0000/00001497_2.png | images/0000/00001497_4.png | images/0000/00001497_1.png
00001535,5,1,images/0000/00001535_0.png | images/0000/00001535_1.png | images/0000/00001535_3.png | images/0000/00001535_2.png | images/0000/00001535_4.png
00001614,5,1,images/0000/00001614_0.png | images/0000/00001614_1.png | images/0000/00001614_4.png | images/0000/00001614_2.png | images/0000/00001614_3.png
00001615,5,1,images/0000/00001615_2.png | images/0000/00001615_4.png | images/0000/00001615_0.png | images/0000/00001615_1.png | images/0000/00001615_3.png
00001616,5,1,images/0000/00001616_2.png | images/0000/00001616_3.png | images/0000/00001616_1.png | images/0000/00001616_4.png | images/0000/00001616_0.png
00001633,5,1,images/0000/00001633_3.png | images/0000/00001633_1.png | images/0000/00001633_4.png | images/0000/00001633_2.png | images/0000/00001633_0.png
00001705,5,1,images/0000/00001705_0.png | images/0000/00001705_1.png | images/0000/00001705_4.png | images/0000/00001705_2.png | images/0000/00001705_3.png
00001708,5,1,images/0000/00001708_0.png | images/0000/00001708_4.png | images/0000/00001708_2.png | images/0000/00001708_1.png | images/0000/00001708_3.png
00001749,5,1,images/0000/00001749_1.png | images/0000/00001749_0.png | images/0000/00001749_2.png | images/0000/00001749_3.png | images/0000/00001749_4.png
00001926,5,1,images/0000/00001926_4.png | images/0000/00001926_0.png | images/0000/00001926_2.png | images/0000/00001926_3.png | images/0000/00001926_1.png
00001965,5,1,images/0000/00001965_0.png | images/0000/00001965_4.png | images/0000/00001965_1.png | images/0000/00001965_2.png | images/0000/00001965_3.png
00001971,5,1,images/0000/00001971_2.png | images/0000/00001971_3.png | images/0000/00001971_0.png | images/0000/00001971_4.png | images/0000/00001971_1.png
00002059,5,1,images/0000/00002059_4.png | images/0000/00002059_1.png | images/0000/00002059_2.png | images/0000/00002059_3.png | images/0000/00002059_0.png
00002241,5,1,images/0000/00002241_1.png | images/0000/00002241_0.png | images/0000/00002241_3.png | images/0000/00002241_4.png | images/0000/00002241_2.png
00002278,5,1,images/0000/00002278_4.png | images/0000/00002278_0.png | images/0000/00002278_3.png | images/0000/00002278_1.png | images/0000/00002278_2.png
00002297,5,1,images/0000/00002297_1.png | images/0000/00002297_2.png | images/0000/00002297_4.png | images/0000/00002297_0.png | images/0000/00002297_3.png
00002298,5,1,images/0000/00002298_3.png | images/0000/00002298_1.png | images/0000/00002298_2.png | images/0000/00002298_0.png | images/0000/00002298_4.png
00002421,5,1,images/0000/00002421_3.png | images/0000/00002421_4.png | images/0000/00002421_1.png | images/0000/00002421_0.png | images/0000/00002421_2.png
00002512,5,1,images/0000/00002512_0.png | images/0000/00002512_2.png | images/0000/00002512_1.png | images/0000/00002512_3.png | images/0000/00002512_4.png
00002521,5,1,images/0000/00002521_0.png | images/0000/00002521_4.png | images/0000/00002521_2.png | images/0000/00002521_3.png | images/0000/00002521_1.png
00002570,5,1,images/0000/00002570_0.png | images/0000/00002570_2.png | images/0000/00002570_4.png | images/0000/00002570_1.png | images/0000/00002570_3.png
00002601,5,1,images/0000/00002601_0.png | images/0000/00002601_1.png | images/0000/00002601_3.png | images/0000/00002601_2.png | images/0000/00002601_4.png
00002602,5,1,images/0000/00002602_3.png | images/0000/00002602_0.png | images/0000/00002602_4.png | images/0000/00002602_2.png | images/0000/00002602_1.png
00002680,5,1,images/0000/00002680_0.png | images/0000/00002680_4.png | images/0000/00002680_2.png | images/0000/00002680_1.png | images/0000/00002680_3.png
00002698,5,1,images/0000/00002698_1.png | images/0000/00002698_0.png | images/0000/00002698_3.png | images/0000/00002698_4.png | images/0000/00002698_2.png
00002745,5,1,images/0000/00002745_0.png | images/0000/00002745_4.png | images/0000/00002745_3.png | images/0000/00002745_1.png | images/0000/00002745_2.png
00002886,5,1,images/0000/00002886_2.png | images/0000/00002886_0.png | images/0000/00002886_1.png | images/0000/00002886_3.png | images/0000/00002886_4.png
00002914,5,1,images/0000/00002914_0.png | images/0000/00002914_2.png | images/0000/00002914_3.png | images/0000/00002914_1.png | images/0000/00002914_4.png
00002963,5,1,images/0000/00002963_0.png | images/0000/00002963_3.png | images/0000/00002963_4.png | images/0000/00002963_1.png | images/0000/00002963_2.png
00002964,5,1,images/0000/00002964_1.png | images/0000/00002964_3.png | images/0000/00002964_2.png | images/0000/00002964_0.png | images/0000/00002964_4.png
00002970,5,1,images/0000/00002970_0.png | images/0000/00002970_1.png | images/0000/00002970_2.png | images/0000/00002970_3.png | images/0000/00002970_4.png
00002975,5,1,images/0000/00002975_0.png | images/0000/00002975_3.png | images/0000/00002975_1.png | images/0000/00002975_2.png | images/0000/00002975_4.png
00003009,5,1,images/0000/00003009_3.png | images/0000/00003009_4.png | images/0000/00003009_0.png | images/0000/00003009_1.png | images/0000/00003009_2.png
00003135,5,1,images/0000/00003135_0.png | images/0000/00003135_2.png | images/0000/00003135_1.png | images/0000/00003135_3.png | images/0000/00003135_4.png
00003143,5,1,images/0000/00003143_1.png | images/0000/00003143_3.png | images/0000/00003143_4.png | images/0000/00003143_2.png | images/0000/00003143_0.png
00003169,5,1,images/0000/00003169_3.png | images/0000/00003169_0.png | images/0000/00003169_1.png | images/0000/00003169_2.png | images/0000/00003169_4.png
00003390,5,1,images/0000/00003390_1.png | images/0000/00003390_3.png | images/0000/00003390_0.png | images/0000/00003390_2.png | images/0000/00003390_4.png
00003406,5,1,images/0000/00003406_3.png | images/0000/00003406_0.png | images/0000/00003406_4.png | images/0000/00003406_2.png | images/0000/00003406_1.png
00003419,5,1,images/0000/00003419_1.png | images/0000/00003419_2.png | images/0000/00003419_3.png | images/0000/00003419_4.png | images/0000/00003419_0.png
