sample_group,sample_id,action_json_file,action_json_path,event_count,pair_count,unique_action_count,span_ms,line_pair_count,sketch_pair_count,curve_pair_count,extrusion_pair_count,complexity_score,complexity_label
confirm_set_600,00012995,00012995.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00012995.json,40,20,4,8704.0,14,2,2,2,0.08562,low
confirm_set_600,00017383,00017383.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00017383.json,20,10,4,4897.0,0,3,2,2,0.015851,low
confirm_set_600,00036371,00036371.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00036371.json,32,16,4,6073.0,10,2,2,2,0.056491,low
confirm_set_600,00047970,00047970.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00047970.json,28,14,4,6283.0,8,2,2,2,0.043608,low
confirm_set_600,00048499,00048499.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00048499.json,28,14,4,4917.0,8,2,2,2,0.042103,low
confirm_set_600,00051124,00051124.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00051124.json,28,14,4,7730.0,8,2,2,2,0.045202,low
confirm_set_600,00051216,00051216.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00051216.json,22,11,5,6312.0,4,2,2,2,0.098968,low
confirm_set_600,00052174,00052174.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00052174.json,28,14,4,7953.0,0,4,3,3,0.057948,low
confirm_set_600,00071254,00071254.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00071254.json,20,10,4,6472.0,0,3,2,2,0.017587,low
confirm_set_600,00080137,00080137.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00080137.json,24,12,4,5438.0,0,4,2,2,0.029562,low
confirm_set_600,00080304,00080304.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00080304.json,24,12,4,5470.0,0,4,2,2,0.029597,low
confirm_set_600,00080605,00080605.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00080605.json,24,12,4,5938.0,0,4,2,2,0.030113,low
confirm_set_600,00082960,00082960.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00082960.json,28,14,4,6205.0,8,2,2,2,0.043522,low
confirm_set_600,00086270,00086270.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00086270.json,20,10,4,5194.0,0,3,2,2,0.016178,low
confirm_set_600,00086846,00086846.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00086846.json,24,12,4,4921.0,0,4,2,2,0.028992,low
confirm_set_600,00090002,00090002.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00090002.json,28,14,4,5204.0,8,2,2,2,0.042419,low
confirm_set_600,00095450,00095450.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00095450.json,38,19,4,13150.0,12,3,2,2,0.083962,low
confirm_set_600,00095632,00095632.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00095632.json,20,10,4,4705.0,0,3,2,2,0.015639,low
confirm_set_600,00095875,00095875.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00095875.json,28,14,4,4683.0,8,2,2,2,0.041845,low
confirm_set_600,00099764,00099764.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00099764.json,16,8,4,4987.0,0,2,2,2,0.002835,low
confirm_set_600,00101473,00101473.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00101473.json,44,22,4,7244.0,16,2,2,2,0.097126,low
confirm_set_600,00105310,00105310.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00105310.json,16,8,4,5816.0,0,2,2,2,0.003749,low
confirm_set_600,00110718,00110718.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00110718.json,36,18,4,11209.0,0,6,3,3,0.087766,low
confirm_set_600,00116317,00116317.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00116317.json,22,11,5,6159.0,4,2,2,2,0.098799,low
confirm_set_600,00116924,00116924.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00116924.json,20,10,4,4961.0,0,3,2,2,0.015921,low
confirm_set_600,00120032,00120032.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00120032.json,32,16,4,6099.0,10,2,2,2,0.05652,low
confirm_set_600,00125748,00125748.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00125748.json,28,14,4,4822.0,8,2,2,2,0.041998,low
confirm_set_600,00125825,00125825.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00125825.json,16,8,4,3837.0,0,2,2,2,0.001568,low
confirm_set_600,00127330,00127330.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00127330.json,20,10,4,4257.0,0,3,2,2,0.015146,low
confirm_set_600,00127464,00127464.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00127464.json,22,11,5,5406.0,4,2,2,2,0.097969,low
confirm_set_600,00128738,00128738.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00128738.json,24,12,4,7207.0,0,3,3,3,0.044011,low
confirm_set_600,00134610,00134610.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00134610.json,16,8,4,4309.0,0,2,2,2,0.002088,low
confirm_set_600,00135679,00135679.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00135679.json,20,10,4,4603.0,0,3,2,2,0.015527,low
confirm_set_600,00137087,00137087.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00137087.json,28,14,4,5477.0,8,2,2,2,0.04272,low
confirm_set_600,00140052,00140052.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00140052.json,36,18,4,7363.0,0,6,3,3,0.083527,low
confirm_set_600,00140889,00140889.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00140889.json,24,12,4,5710.0,0,4,2,2,0.029862,low
confirm_set_600,00151282,00151282.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00151282.json,16,8,4,5467.0,0,2,2,2,0.003364,low
confirm_set_600,00166751,00166751.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00166751.json,28,14,4,7390.0,8,2,2,2,0.044828,low
confirm_set_600,00188088,00188088.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00188088.json,26,13,4,5620.0,7,2,2,2,0.03632,low
confirm_set_600,00202495,00202495.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00202495.json,38,19,4,6280.0,12,3,2,2,0.076391,low
confirm_set_600,00207464,00207464.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00207464.json,28,14,4,11338.0,0,4,3,3,0.061678,low
confirm_set_600,00209710,00209710.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00209710.json,28,14,4,5373.0,8,2,2,2,0.042605,low
confirm_set_600,00215871,00215871.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00215871.json,22,11,5,4653.0,4,2,2,2,0.097139,low
confirm_set_600,00217019,00217019.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00217019.json,32,16,4,12120.0,0,5,3,3,0.075655,low
confirm_set_600,00219372,00219372.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00219372.json,38,19,4,10032.0,12,3,2,2,0.080526,low
confirm_set_600,00246079,00246079.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00246079.json,16,8,4,5518.0,0,2,2,2,0.003421,low
confirm_set_600,00265935,00265935.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00265935.json,38,19,4,4606.0,12,3,2,2,0.074547,low
confirm_set_600,00266374,00266374.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00266374.json,28,14,4,7075.0,8,2,2,2,0.044481,low
confirm_set_600,00271828,00271828.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00271828.json,28,14,4,9999.0,8,2,2,2,0.047703,low
confirm_set_600,00282189,00282189.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00282189.json,26,13,4,6809.0,7,2,2,2,0.03763,low
confirm_set_600,00284307,00284307.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00284307.json,32,16,4,12079.0,0,4,4,4,0.08811,low
confirm_set_600,00285677,00285677.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00285677.json,30,15,4,7356.0,9,2,2,2,0.051348,low
confirm_set_600,00287468,00287468.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00287468.json,16,8,4,5947.0,0,2,2,2,0.003893,low
confirm_set_600,00287588,00287588.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00287588.json,38,19,4,10133.0,12,3,2,2,0.080637,low
confirm_set_600,00301990,00301990.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00301990.json,28,14,4,7063.0,8,2,2,2,0.044467,low
confirm_set_600,00308400,00308400.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00308400.json,38,19,4,7564.0,12,3,2,2,0.077806,low
confirm_set_600,00322455,00322455.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00322455.json,16,8,4,4934.0,0,2,2,2,0.002777,low
confirm_set_600,00322826,00322826.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00322826.json,28,14,4,6196.0,8,2,2,2,0.043512,low
confirm_set_600,00344648,00344648.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00344648.json,20,10,4,6568.0,0,3,2,2,0.017692,low
confirm_set_600,00361786,00361786.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00361786.json,28,14,4,8862.0,0,4,3,3,0.05895,low
confirm_set_600,00364594,00364594.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00364594.json,24,12,4,5252.0,0,4,2,2,0.029357,low
confirm_set_600,00368141,00368141.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00368141.json,16,8,4,5708.0,0,2,2,2,0.00363,low
confirm_set_600,00381922,00381922.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00381922.json,38,19,4,8912.0,12,3,2,2,0.079292,low
confirm_set_600,00382840,00382840.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00382840.json,22,11,5,3944.0,4,2,2,2,0.096358,low
confirm_set_600,00389643,00389643.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00389643.json,24,12,4,5496.0,0,4,2,2,0.029626,low
confirm_set_600,00406487,00406487.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00406487.json,20,10,4,5025.0,0,3,2,2,0.015992,low
confirm_set_600,00411275,00411275.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00411275.json,36,18,4,8620.0,0,6,3,3,0.084913,low
confirm_set_600,00418889,00418889.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00418889.json,28,14,4,6363.0,8,2,2,2,0.043696,low
confirm_set_600,00421802,00421802.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00421802.json,28,14,4,6687.0,8,2,2,2,0.044053,low
confirm_set_600,00424980,00424980.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00424980.json,28,14,4,6583.0,8,2,2,2,0.043938,low
confirm_set_600,00425496,00425496.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00425496.json,32,16,4,9407.0,10,2,2,2,0.060165,low
confirm_set_600,00432942,00432942.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00432942.json,16,8,4,5492.0,0,2,2,2,0.003392,low
confirm_set_600,00434583,00434583.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00434583.json,28,14,4,5555.0,8,2,2,2,0.042806,low
confirm_set_600,00434829,00434829.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00434829.json,22,11,5,6509.0,4,2,2,2,0.099185,low
confirm_set_600,00440433,00440433.json,evidence/videocad/samples/dataverse/action_json_unpacked/action_json/00440433.json,36,18,4,7429.0,12,2,2,2,0.0711,low
