pair,r,rho,stratum_set,n_chains,B_requested,B_defined,pct_undefined,delta_eps_star_point,ci_lo,ci_hi,p_boot,p_floor,family,holm_adj_p
min_rules-retry_oracle,0.5,0.0,pooled,600,9999,9999,0.0,-0.056847,-0.067211,-0.046865,0.0,2/9999,descriptive,0.0
retry_oracle-no_rules,0.5,0.0,pooled,600,9999,9999,0.0,0.232973,0.229534,0.236374,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.0,low,200,9999,9999,0.0,0.008205,-0.010249,0.031917,0.366437,2/9999,sensitivity-r05,0.366437
retry_oracle-no_rules,0.5,0.0,low,200,9999,9999,0.0,0.262167,0.258021,0.266258,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.0,medium,200,9999,9999,0.0,-0.058954,-0.074745,-0.042131,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.0,medium,200,9999,9999,0.0,0.2393,0.235612,0.243107,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.0,high,200,9999,9999,0.0,-0.101552,-0.11266,-0.089966,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.0,high,200,9999,9999,0.0,0.198664,0.194496,0.202943,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.5,pooled,600,9999,9999,0.0,0.137005,0.126208,0.147755,0.0,2/9999,descriptive,0.0
retry_oracle-no_rules,0.5,0.5,pooled,600,9999,9999,0.0,0.039122,0.037255,0.041134,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.5,low,200,9999,9999,0.0,0.20855,0.190957,0.231697,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.5,low,200,9999,9999,0.0,0.061822,0.058237,0.065439,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.5,medium,200,9999,9999,0.0,0.13974,0.123812,0.156036,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.5,medium,200,9999,9999,0.0,0.040606,0.038289,0.04337,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.5,high,200,9999,9999,0.0,0.074487,0.063501,0.086139,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.5,high,200,9999,9999,0.0,0.022625,0.021085,0.02427,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.9,pooled,600,9999,9999,0.0,0.173832,0.162112,0.184894,0.0,2/9999,descriptive,0.0
retry_oracle-no_rules,0.5,0.9,pooled,600,9999,9999,0.0,0.002294,0.002101,0.002696,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.9,low,200,9999,9999,0.0,0.264234,0.246272,0.288107,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.9,low,200,9999,9999,0.0,0.006138,0.005467,0.006894,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.9,medium,200,9999,9999,0.0,0.176933,0.160893,0.193891,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.9,medium,200,9999,9999,0.0,0.003414,0.002472,0.004407,0.0,2/9999,control,
min_rules-retry_oracle,0.5,0.9,high,200,9999,9999,0.0,0.095852,0.084107,0.107553,0.0,2/9999,sensitivity-r05,0.0
retry_oracle-no_rules,0.5,0.9,high,200,9999,9999,0.0,0.001259,0.00109,0.001438,0.0,2/9999,control,
