sample_id,complexity_label,method,strength,replicate,top1,rank,rr
00090444,low,baseline,0,0,1,1,1.0
00090444,low,robust,0,0,1,1,1.0
00090444,low,baseline,0,1,1,1,1.0
00090444,low,robust,0,1,1,1,1.0
00090444,low,baseline,1,0,1,1,1.0
00090444,low,robust,1,0,1,1,1.0
00090444,low,baseline,1,1,1,1,1.0
00090444,low,robust,1,1,1,1,1.0
00090444,low,baseline,2,0,0,4,0.25
00090444,low,robust,2,0,0,8,0.125
00090444,low,baseline,2,1,1,1,1.0
00090444,low,robust,2,1,0,2,0.5
00090444,low,baseline,3,0,0,3,0.333333
00090444,low,robust,3,0,0,3,0.333333
00090444,low,baseline,3,1,1,1,1.0
00090444,low,robust,3,1,1,1,1.0
00090444,low,baseline,4,0,1,1,1.0
00090444,low,robust,4,0,1,1,1.0
00090444,low,baseline,4,1,1,1,1.0
00090444,low,robust,4,1,0,2,0.5
00017018,low,baseline,0,0,1,1,1.0
00017018,low,robust,0,0,1,1,1.0
00017018,low,baseline,0,1,1,1,1.0
00017018,low,robust,0,1,1,1,1.0
00017018,low,baseline,1,0,1,1,1.0
00017018,low,robust,1,0,1,1,1.0
00017018,low,baseline,1,1,1,1,1.0
00017018,low,robust,1,1,1,1,1.0
00017018,low,baseline,2,0,1,1,1.0
00017018,low,robust,2,0,1,1,1.0
00017018,low,baseline,2,1,1,1,1.0
00017018,low,robust,2,1,1,1,1.0
00017018,low,baseline,3,0,0,8,0.125
00017018,low,robust,3,0,0,55,0.018182
00017018,low,baseline,3,1,0,9,0.111111
00017018,low,robust,3,1,1,1,1.0
00017018,low,baseline,4,0,1,1,1.0
00017018,low,robust,4,0,1,1,1.0
00017018,low,baseline,4,1,0,8,0.125
00017018,low,robust,4,1,0,85,0.011765
00104282,low,baseline,0,0,1,1,1.0
00104282,low,robust,0,0,1,1,1.0
00104282,low,baseline,0,1,1,1,1.0
00104282,low,robust,0,1,1,1,1.0
00104282,low,baseline,1,0,1,1,1.0
00104282,low,robust,1,0,1,1,1.0
00104282,low,baseline,1,1,1,1,1.0
00104282,low,robust,1,1,1,1,1.0
00104282,low,baseline,2,0,1,1,1.0
00104282,low,robust,2,0,1,1,1.0
00104282,low,baseline,2,1,1,1,1.0
00104282,low,robust,2,1,1,1,1.0
00104282,low,baseline,3,0,0,9,0.111111
00104282,low,robust,3,0,0,2,0.5
00104282,low,baseline,3,1,1,1,1.0
00104282,low,robust,3,1,1,1,1.0
00104282,low,baseline,4,0,0,2,0.5
00104282,low,robust,4,0,0,2,0.5
00104282,low,baseline,4,1,1,1,1.0
00104282,low,robust,4,1,0,8,0.125
00122673,low,baseline,0,0,1,1,1.0
00122673,low,robust,0,0,1,1,1.0
00122673,low,baseline,0,1,1,1,1.0
00122673,low,robust,0,1,1,1,1.0
00122673,low,baseline,1,0,1,1,1.0
00122673,low,robust,1,0,0,2,0.5
00122673,low,baseline,1,1,1,1,1.0
00122673,low,robust,1,1,0,2,0.5
00122673,low,baseline,2,0,0,2,0.5
00122673,low,robust,2,0,0,3,0.333333
00122673,low,baseline,2,1,1,1,1.0
00122673,low,robust,2,1,0,2,0.5
00122673,low,baseline,3,0,1,1,1.0
00122673,low,robust,3,0,0,2,0.5
00122673,low,baseline,3,1,0,2,0.5
00122673,low,robust,3,1,0,2,0.5
00122673,low,baseline,4,0,0,2,0.5
00122673,low,robust,4,0,0,4,0.25
00122673,low,baseline,4,1,1,1,1.0
00122673,low,robust,4,1,0,2,0.5
00011990,low,baseline,0,0,1,1,1.0
00011990,low,robust,0,0,1,1,1.0
00011990,low,baseline,0,1,1,1,1.0
00011990,low,robust,0,1,1,1,1.0
00011990,low,baseline,1,0,1,1,1.0
00011990,low,robust,1,0,1,1,1.0
00011990,low,baseline,1,1,1,1,1.0
00011990,low,robust,1,1,1,1,1.0
00011990,low,baseline,2,0,1,1,1.0
00011990,low,robust,2,0,1,1,1.0
00011990,low,baseline,2,1,1,1,1.0
00011990,low,robust,2,1,1,1,1.0
00011990,low,baseline,3,0,1,1,1.0
00011990,low,robust,3,0,1,1,1.0
00011990,low,baseline,3,1,0,19,0.052632
00011990,low,robust,3,1,0,35,0.028571
00011990,low,baseline,4,0,1,1,1.0
00011990,low,robust,4,0,0,6,0.166667
00011990,low,baseline,4,1,1,1,1.0
00011990,low,robust,4,1,0,4,0.25
