subset,method,strength,n_queries,top1_acc,mrr
all,baseline,0,600,0.97,0.982611
all,baseline,1,600,0.943333,0.968694
all,baseline,2,600,0.861667,0.919321
all,baseline,3,600,0.716667,0.80715
all,baseline,4,600,0.515,0.625908
all,robust,0,600,0.97,0.982611
all,robust,1,600,0.906667,0.947333
all,robust,2,600,0.816667,0.886163
all,robust,3,600,0.68,0.775773
all,robust,4,600,0.558333,0.675121
high,baseline,0,200,0.98,0.99
high,baseline,1,200,0.965,0.9825
high,baseline,2,200,0.91,0.950833
high,baseline,3,200,0.75,0.831647
high,baseline,4,200,0.57,0.673638
high,robust,0,200,0.98,0.99
high,robust,1,200,0.94,0.968333
high,robust,2,200,0.865,0.916097
high,robust,3,200,0.72,0.801064
high,robust,4,200,0.615,0.715221
low,baseline,0,200,0.96,0.972833
low,baseline,1,200,0.945,0.964417
low,baseline,2,200,0.805,0.883167
low,baseline,3,200,0.64,0.745294
low,baseline,4,200,0.51,0.610523
low,robust,0,200,0.96,0.972833
low,robust,1,200,0.85,0.911167
low,robust,2,200,0.74,0.832808
low,robust,3,200,0.59,0.711956
low,robust,4,200,0.45,0.594591
medium,baseline,0,200,0.97,0.985
medium,baseline,1,200,0.92,0.959167
medium,baseline,2,200,0.87,0.923964
medium,baseline,3,200,0.76,0.84451
medium,baseline,4,200,0.465,0.593565
medium,robust,0,200,0.97,0.985
medium,robust,1,200,0.93,0.9625
medium,robust,2,200,0.845,0.909583
medium,robust,3,200,0.73,0.814301
medium,robust,4,200,0.61,0.715552
