complexity_label,rule_mode,epsilon,n_runs,success_rate,mean_fail_step_ratio,mean_mismatch_rate,mean_repaired_events
high,no_rules,0.0,1200,1.0,1.0,0.0,0.0
high,no_rules,0.02,1200,0.241667,0.552731,0.00553,0.0
high,no_rules,0.04,1200,0.063333,0.350865,0.007794,0.0
high,no_rules,0.06,1200,0.02,0.265688,0.007837,0.0
high,no_rules,0.08,1200,0.008333,0.197004,0.008123,0.0
high,no_rules,0.1,1200,0.001667,0.160457,0.00864,0.0
high,no_rules,0.12,1200,0.0,0.128858,0.008646,0.0
high,no_rules,0.14,1200,0.0,0.118733,0.008847,0.0
high,no_rules,0.16,1200,0.0,0.10379,0.008932,0.0
high,no_rules,0.18,1200,0.0,0.08547,0.008707,0.0
high,no_rules,0.2,1200,0.0,0.076905,0.009103,0.0
low,no_rules,0.0,1200,1.0,1.0,0.0,0.0
low,no_rules,0.02,1200,0.618333,0.812781,0.008562,0.0
low,no_rules,0.04,1200,0.378333,0.673372,0.012572,0.0
low,no_rules,0.06,1200,0.241667,0.571787,0.016018,0.0
low,no_rules,0.08,1200,0.165,0.472827,0.019364,0.0
low,no_rules,0.1,1200,0.086667,0.380988,0.021718,0.0
low,no_rules,0.12,1200,0.0575,0.356641,0.02336,0.0
low,no_rules,0.14,1200,0.046667,0.29996,0.023636,0.0
low,no_rules,0.16,1200,0.0225,0.271389,0.024035,0.0
low,no_rules,0.18,1200,0.020833,0.249338,0.025205,0.0
low,no_rules,0.2,1200,0.013333,0.224103,0.025099,0.0
medium,no_rules,0.0,1200,1.0,1.0,0.0,0.0
medium,no_rules,0.02,1200,0.4225,0.712564,0.007055,0.0
medium,no_rules,0.04,1200,0.168333,0.5022,0.011367,0.0
medium,no_rules,0.06,1200,0.09,0.402572,0.012403,0.0
medium,no_rules,0.08,1200,0.041667,0.32836,0.013163,0.0
medium,no_rules,0.1,1200,0.019167,0.265688,0.015133,0.0
medium,no_rules,0.12,1200,0.01,0.225854,0.014729,0.0
medium,no_rules,0.14,1200,0.006667,0.193584,0.015078,0.0
medium,no_rules,0.16,1200,0.001667,0.168099,0.014969,0.0
medium,no_rules,0.18,1200,0.001667,0.153972,0.015387,0.0
medium,no_rules,0.2,1200,0.0025,0.136469,0.014658,0.0
high,with_rules,0.0,1200,1.0,1.0,0.0,0.0
high,with_rules,0.02,1200,0.6925,0.832321,0.020753,1.3725
high,with_rules,0.04,1200,0.454167,0.682544,0.035555,2.29
high,with_rules,0.06,1200,0.304167,0.56587,0.039224,2.498333
high,with_rules,0.08,1200,0.199167,0.443293,0.03918,2.388333
high,with_rules,0.1,1200,0.121667,0.354388,0.036946,2.145
high,with_rules,0.12,1200,0.068333,0.272231,0.034506,1.955
high,with_rules,0.14,1200,0.036667,0.235284,0.03204,1.731667
high,with_rules,0.16,1200,0.023333,0.189556,0.02867,1.431667
high,with_rules,0.18,1200,0.015,0.158858,0.025941,1.3225
high,with_rules,0.2,1200,0.006667,0.134634,0.024018,1.121667
low,with_rules,0.0,1200,1.0,1.0,0.0,0.0
low,with_rules,0.02,1200,0.7825,0.885572,0.018382,0.375
low,with_rules,0.04,1200,0.656667,0.809947,0.028308,0.676667
low,with_rules,0.06,1200,0.51,0.728398,0.038397,0.8675
low,with_rules,0.08,1200,0.384167,0.633382,0.046156,0.968333
low,with_rules,0.1,1200,0.3075,0.556767,0.048385,0.981667
low,with_rules,0.12,1200,0.213333,0.500317,0.054046,1.0275
low,with_rules,0.14,1200,0.191667,0.448606,0.052061,0.980833
low,with_rules,0.16,1200,0.128333,0.403592,0.05468,0.985
low,with_rules,0.18,1200,0.1025,0.368257,0.055176,0.963333
low,with_rules,0.2,1200,0.096667,0.336697,0.052602,0.921667
medium,with_rules,0.0,1200,1.0,1.0,0.0,0.0
medium,with_rules,0.02,1200,0.77,0.875197,0.019773,0.790833
medium,with_rules,0.04,1200,0.54,0.726028,0.033206,1.215
medium,with_rules,0.06,1200,0.400833,0.618,0.038468,1.380833
medium,with_rules,0.08,1200,0.299167,0.54406,0.043058,1.511667
medium,with_rules,0.1,1200,0.200833,0.443846,0.043989,1.46
medium,with_rules,0.12,1200,0.145,0.396648,0.044538,1.448333
medium,with_rules,0.14,1200,0.091667,0.326826,0.042533,1.316667
medium,with_rules,0.16,1200,0.069167,0.28626,0.040929,1.239167
medium,with_rules,0.18,1200,0.036667,0.253569,0.040395,1.143333
medium,with_rules,0.2,1200,0.030833,0.224317,0.038575,1.090833
